Project,Start Using CI,Main Lang
bokeh/bokeh,2014-04-07,Python
chef/chef,2013-06-13,Ruby
cython/cython,2012-12-21,Python
grails/grails-core,2014-05-12,Java
sympy/sympy,2012-06-21,Python
scipy/scipy,2013-05-25,Python
hapijs/hapi,2013-03-05,JavaScript
Yelp/mrjob,2013-01-17,Python
jashkenas/underscore,2012-12-28,JavaScript
AnalyticalGraphicsInc/cesium,2013-07-01,JavaScript
mozilla/pdf.js,2013-02-01,JavaScript
owncloud/core,2014-05-23,PHP
jashkenas/backbone,2012-11-28,JavaScript
ansible/ansible,2015-03-10,Python
ipython/ipython,2012-06-24,Python
gollum/gollum,2013-03-15,JavaScript
jsbin/jsbin,2014-01-07,JavaScript
humhub/humhub,2015-03-25,PHP
elastic/kibana,2014-10-14,JavaScript
spinnaker/spinnaker,2015-11-20,Python
ether/etherpad-lite,2012-11-14,JavaScript
openhab/openhab,2015-05-21,Java
scikit-learn/scikit-learn,2012-11-23,Python
TryGhost/Ghost,2013-10-15,JavaScript
Pylons/pyramid,2012-06-24,Python
yiisoft/yii,2012-07-04,PHP
elastic/logstash,2013-09-18,Ruby
kivy/kivy,2012-10-18,Python
driftyco/ng-cordova,2014-09-29,JavaScript
boto/boto,2012-07-10,Python
alohaeditor/Aloha-Editor,2014-03-21,JavaScript
ReactiveX/RxJava,2014-08-29,Java
Theano/Theano,2012-08-02,Python
matplotlib/matplotlib,2012-08-29,Python
fchollet/keras,2015-09-07,Python
callemall/material-ui,2015-06-28,JavaScript
invoiceninja/invoiceninja,2016-02-17,JavaScript
andypetrella/spark-notebook,2015-12-04,JavaScript
Leaflet/Leaflet,2013-02-01,JavaScript
dropwizard/metrics,2013-04-05,Java
Netflix/Hystrix,2014-09-02,Java
mapbox/mapbox-gl-js,2014-08-08,JavaScript
craftyjs/Crafty,2014-01-29,JavaScript
twbs/bootstrap,2012-04-20,JavaScript
androidannotations/androidannotations,2014-06-07,Java
aframevr/aframe,2016-01-13,JavaScript
serverless/serverless,2016-04-20,JavaScript
processing/p5.js,2015-01-26,JavaScript
HabitRPG/habitica,2013-11-04,JavaScript
rails/rails,2011-07-21,Ruby
fog/fog,2012-08-16,Ruby
refinery/refinerycms,2012-09-05,Ruby
jhipster/generator-jhipster,2014-05-11,JavaScript
pyrocms/pyrocms,2012-05-27,PHP
divio/django-cms,2012-06-08,Python
saltstack/salt,2012-04-10,Python
dropwizard/dropwizard,2013-04-05,Java
haraka/Haraka,2014-03-25,JavaScript
frappe/erpnext,2013-12-26,Python
scikit-image/scikit-image,2012-10-04,Python
bcit-ci/CodeIgniter,2012-03-10,PHP
photonstorm/phaser,2014-04-01,JavaScript
zurb/foundation-sites,2013-11-07,JavaScript
sensu/sensu,2012-04-17,Ruby
request/request,2013-10-15,JavaScript
siacs/Conversations,2015-01-04,Java
getsentry/sentry,2012-08-11,Python
robolectric/robolectric,2013-05-09,Java
bundler/bundler,2013-05-23,Ruby
vanilla/vanilla,2014-07-22,PHP
square/picasso,2014-01-11,Java
buildbot/buildbot,2013-08-27,Python
loomio/loomio,2013-03-19,Ruby
apache/incubator-airflow,2015-10-14,Python
TelescopeJS/Telescope,2015-01-19,JavaScript
appcelerator/titanium_mobile,2014-12-18,JavaScript
apereo/cas,2013-09-16,Java
mizzy/serverspec,2013-06-30,Ruby
mozilla-b2g/gaia,2013-02-06,JavaScript
laravel/laravel,2012-09-02,PHP
cakephp/cakephp,2012-05-13,PHP
puppetlabs/puppet,2012-02-17,Ruby
